,id,environment_full,task,intent_object,intent_location,environment_short,ambiguity_type,user_intent
102,102,"an apple, a bag of kettle chips, and a Coke",Put that apple next to the Coke.,apple,Coke,"apple, kettle chips, Coke",unambiguous_task,apple
222,222,"an energy bar, an apple, and a orange soda",I need that orange soda.,orange soda,pick-up,"energy bar, apple, orange soda",unambiguous_task,orange soda
135,135,"an apple, a orange soda, and a bag of kettle chips",I need that kettle chips.,kettle chips,pick-up,"apple, orange soda, kettle chips",unambiguous_task,kettle chips
237,237,"a Sprite, an apple, and a Pepsi",Put the Pepsi next to the apple.,Pepsi,apple,"Sprite, apple, Pepsi",unambiguous_task,Pepsi
252,252,"a bag of kettle chips, an apple, and a Pepsi",Put that apple in the bottom drawer.,apple,bottom drawer,"kettle chips, apple, Pepsi",unambiguous_task,apple
181,181,"a bag of rice chips, a Sprite, and a bottled unsweetened tea",Put the bottled unsweetened tea in the top drawer.,bottled unsweetened tea,top drawer,"rice chips, Sprite, bottled unsweetened tea",unambiguous_task,bottled unsweetened tea
3,3,"a bottled water, an energy bar, and a Coke",Put that Coke in the bottom drawer.,Coke,bottom drawer,"bottled water, energy bar, Coke",unambiguous_task,Coke
0,0,"a Coke, a bottled unsweetened tea, and a Sprite",Bring me a flavored drink.,"Coke, bottled unsweetened tea, Sprite",pick-up,"Coke, bottled unsweetened tea, Sprite",creative_multilabel_task,Coke|bottled unsweetened tea|Sprite
195,195,"a Pepsi, a bag of jalapeno chips, and a RedBull",Bring me something with a kick.,"RedBull, jalapeno chips",pick-up,"Pepsi, jalapeno chips, RedBull",creative_multilabel_task,RedBull|jalapeno chips
255,255,"a Sprite, a Coke, and a orange soda",I'm craving a fizzy drink that's not a cola.,"orange soda, Sprite",pick-up,"Sprite, Coke, orange soda",creative_multilabel_task,orange soda|Sprite
83,83,"a bag of multigrain chips, a bag of jalapeno chips, and a bag of rice chips",I want something crunchy.,"rice chips, jalapeno chips, multigrain chips",pick-up,"multigrain chips, jalapeno chips, rice chips",creative_multilabel_task,rice chips|jalapeno chips|multigrain chips
155,155,"a RedBull, a bottled unsweetened tea, and a bag of jalapeno chips",Bring me something with a kick.,"RedBull, jalapeno chips",pick-up,"RedBull, bottled unsweetened tea, jalapeno chips",creative_multilabel_task,RedBull|jalapeno chips
88,88,"an energy bar, a RedBull, and a Coke",Bring me something to keep me going during a long drive.,"RedBull, energy bar",pick-up,"energy bar, RedBull, Coke",creative_multilabel_task,RedBull|energy bar
218,218,"a RedBull, a Coke, and a Sprite",Could you pass me a lime-flavored soda?,Sprite,pick-up,"RedBull, Coke, Sprite",creative_singlelabel_task,Sprite
111,111,"a bag of multigrain chips, an energy bar, and a bag of rice chips",I need a quick energy boost; do you have a bar for that?,energy bar,pick-up,"multigrain chips, energy bar, rice chips",creative_singlelabel_task,energy bar
99,99,"a Sprite, a bottled water, and a Pepsi",Could you pass me a lime-flavored soda?,Sprite,pick-up,"Sprite, bottled water, Pepsi",creative_singlelabel_task,Sprite
278,278,"an apple, a bag of multigrain chips, and an orange",I want a fruit that's both sweet and tangy.,orange,pick-up,"apple, multigrain chips, orange",creative_singlelabel_task,orange
20,20,"a orange soda, a RedBull, and a Pepsi",Bring me something with caffeine.,"RedBull, Pepsi",pick-up,"orange soda, RedBull, Pepsi",multilabel_task,RedBull|Pepsi
187,187,"a bag of multigrain chips, an energy bar, and an orange",Bring me a snack.,"multigrain chips, energy bar, orange",pick-up,"multigrain chips, energy bar, orange",multilabel_task,multigrain chips|energy bar|orange
25,25,"a Pepsi, a bottled unsweetened tea, and a Coke",Bring me a cola.,"Coke, Pepsi",pick-up,"Pepsi, bottled unsweetened tea, Coke",multilabel_task,Coke|Pepsi
