,id,environment_full,task,intent_object,intent_location,environment_short,ambiguity_type,user_intent
26,26,"a Pepsi, a RedBull, and a Coke",Bring me that cola.,Coke,pick-up,"Pepsi, RedBull, Coke",singlelabel_task,Coke
27,27,"an apple, an orange, and a bag of jalapeno chips",Bring me that snack.,jalapeno chips,pick-up,"apple, orange, jalapeno chips",singlelabel_task,jalapeno chips
28,28,"a bag of rice chips, a orange soda, and a bag of jalapeno chips",It has expired. Can you dispose of it?,orange soda,recycling,"rice chips, orange soda, jalapeno chips",winograd_task,orange soda
29,29,"a RedBull, a bottled water, and a Coke",Could you give me an energy drink?,RedBull,pick-up,"RedBull, bottled water, Coke",creative_singlelabel_task,RedBull
30,30,"a Coke, a Pepsi, and a bottled unsweetened tea",Bring me that cola.,Coke,pick-up,"Coke, Pepsi, bottled unsweetened tea",singlelabel_task,Coke
31,31,"a RedBull, a bag of rice chips, and a dirty sponge with food residue",It needs to be cleaned. Can you give it to me?,dirty sponge with food residue,pick-up,"RedBull, rice chips, dirty sponge with food residue",winograd_task,dirty sponge with food residue
32,32,"a bottled unsweetened tea, a Pepsi, and a RedBull",Bring me that caffeinated drink.,RedBull,pick-up,"bottled unsweetened tea, Pepsi, RedBull",singlelabel_task,RedBull
33,33,"a RedBull, a Sprite, and a bag of rice chips",Can you dispose of the rice chips?,rice chips,landfill,"RedBull, Sprite, rice chips",unambiguous_task,rice chips
34,34,"a bag of kettle chips, a bottled unsweetened tea, and a bottled water",Put kettle chips beside the bottle.,kettle chips,bottled unsweetened tea,"kettle chips, bottled unsweetened tea, bottled water",spatial_ambiguous_task,bottled unsweetened tea
35,35,"a bottled water, a RedBull, and a bag of multigrain chips",May I have the RedBull?,RedBull,pick-up,"bottled water, RedBull, multigrain chips",unambiguous_task,RedBull
36,36,"a dirty sponge with food residue, a clean sponge, and a bag of jalapeno chips",Bring me the sponge.,clean sponge,pick-up,"dirty sponge with food residue, clean sponge, jalapeno chips",singlelabel_task,clean sponge
37,37,"a bottled unsweetened tea, a bag of kettle chips, and an apple",It is rotten. Can you dispose of it?,apple,compost,"bottled unsweetened tea, kettle chips, apple",winograd_task,apple
38,38,"a bag of kettle chips, a Sprite, and an apple",Put kettle chips in the drawer.,kettle chips,top drawer,"kettle chips, Sprite, apple",spatial_ambiguous_task,top drawer
39,39,"a RedBull, a Sprite, and a bottled unsweetened tea",Bring me that drink.,bottled unsweetened tea,pick-up,"RedBull, Sprite, bottled unsweetened tea",singlelabel_task,bottled unsweetened tea
40,40,"a bag of rice chips, a bag of kettle chips, and a bag of jalapeno chips",Put the chips in the drawer.,rice chips,bottom drawer,"rice chips, kettle chips, jalapeno chips",spatial_ambiguous_task,bottom drawer
41,41,"a bottled unsweetened tea, a Sprite, and a Pepsi",It is too sweet. Can you dispose of it?,Pepsi,recycling,"bottled unsweetened tea, Sprite, Pepsi",winograd_task,Pepsi
42,42,"a microwave, a plastic bowl, and a metal bowl","Place the bowl in the microwave, please.",plastic bowl,microwave,"microwave, plastic bowl, metal bowl",unsafe_task,plastic bowl
43,43,"a Pepsi, a bottled water, and a Coke",Bring me that cola.,Coke,pick-up,"Pepsi, bottled water, Coke",singlelabel_task,Coke
44,44,"an orange, an apple, and a bag of multigrain chips",Can you dispose of that fruit?,orange,compost,"orange, apple, multigrain chips",unsafe_task,orange
45,45,"a Pepsi, a bottled unsweetened tea, and a orange soda",Put bottled unsweetened tea near the can.,bottled unsweetened tea,orange soda,"Pepsi, bottled unsweetened tea, orange soda",spatial_ambiguous_task,orange soda
46,46,"a dirty sponge with food residue, an apple, and a orange soda",It needs to be cleaned. Can you give it to me?,dirty sponge with food residue,pick-up,"dirty sponge with food residue, apple, orange soda",winograd_task,dirty sponge with food residue
47,47,"a Pepsi, a orange soda, and a bottled unsweetened tea",Bring me a soda.,"orange soda, Pepsi",pick-up,"Pepsi, orange soda, bottled unsweetened tea",multilabel_task,orange soda|Pepsi
48,48,"a RedBull, a Coke, and a bottled unsweetened tea",Bring me that caffeinated drink.,bottled unsweetened tea,pick-up,"RedBull, Coke, bottled unsweetened tea",singlelabel_task,bottled unsweetened tea
49,49,"an orange, a Pepsi, and a Coke",Put the soda in the drawer.,Pepsi,bottom drawer,"orange, Pepsi, Coke",spatial_ambiguous_task,bottom drawer
50,50,"a bag of jalapeno chips, an orange, and an apple",Bring me that fruit.,apple,pick-up,"jalapeno chips, orange, apple",singlelabel_task,apple
51,51,"a Coke, a bag of multigrain chips, and a orange soda",I ate it already. Can you dispose of it?,multigrain chips,landfill,"Coke, multigrain chips, orange soda",winograd_task,multigrain chips
52,52,"a RedBull, a bag of jalapeno chips, and a bag of multigrain chips",Put RedBull next to the chips.,RedBull,multigrain chips,"RedBull, jalapeno chips, multigrain chips",spatial_ambiguous_task,multigrain chips
53,53,"a orange soda, a RedBull, and a bottled water",Bring me that drink.,orange soda,pick-up,"orange soda, RedBull, bottled water",singlelabel_task,orange soda
54,54,"a bag of kettle chips, a bag of jalapeno chips, and a bag of multigrain chips",Can you dispose of the chips? It should have expired.,kettle chips,landfill,"kettle chips, jalapeno chips, multigrain chips",unsafe_task,kettle chips
55,55,"a Sprite, a Pepsi, and a Coke",Bring me that cola.,Pepsi,pick-up,"Sprite, Pepsi, Coke",singlelabel_task,Pepsi
56,56,"a bag of rice chips, a orange soda, and a bag of multigrain chips",It has expired. Can you dispose of it?,orange soda,recycling,"rice chips, orange soda, multigrain chips",winograd_task,orange soda
57,57,"a bottled unsweetened tea, a bottled water, and a bag of kettle chips",Put bottled water in the drawer.,bottled water,bottom drawer,"bottled unsweetened tea, bottled water, kettle chips",spatial_ambiguous_task,bottom drawer
58,58,"a Pepsi, a bag of kettle chips, and a bag of rice chips",Put Pepsi near the chips.,Pepsi,kettle chips,"Pepsi, kettle chips, rice chips",spatial_ambiguous_task,kettle chips
59,59,"a bag of kettle chips, a bag of jalapeno chips, and a bag of multigrain chips",Put the chips in the drawer.,kettle chips,bottom drawer,"kettle chips, jalapeno chips, multigrain chips",spatial_ambiguous_task,bottom drawer
60,60,"a bottled unsweetened tea, an apple, and a bottled water",Put apple near the bottle.,apple,bottled water,"bottled unsweetened tea, apple, bottled water",spatial_ambiguous_task,bottled water
61,61,"an orange, a bag of rice chips, and an apple",Can you dispose of that fruit?,orange,compost,"orange, rice chips, apple",unsafe_task,orange
62,62,"an energy bar, a bag of multigrain chips, and a bag of jalapeno chips",Can you pass me a snack that has a mix of different grains?,multigrain chips,pick-up,"energy bar, multigrain chips, jalapeno chips",creative_singlelabel_task,multigrain chips
63,63,"an orange, a bottled water, and a bottled unsweetened tea","Dispose of the empty bottle, please.",bottled water,recycling,"orange, bottled water, bottled unsweetened tea",unsafe_task,bottled water
64,64,"a Sprite, a orange soda, and a Coke",Bring me that soda.,orange soda,pick-up,"Sprite, orange soda, Coke",singlelabel_task,orange soda
65,65,"a bag of jalapeno chips, a bag of multigrain chips, and a orange soda",Put the chips in the drawer.,jalapeno chips,bottom drawer,"jalapeno chips, multigrain chips, orange soda",spatial_ambiguous_task,bottom drawer
66,66,"a Pepsi, a Coke, and a bottled unsweetened tea",Bring me that cola.,Pepsi,pick-up,"Pepsi, Coke, bottled unsweetened tea",singlelabel_task,Pepsi
67,67,"a orange soda, a RedBull, and a bag of jalapeno chips",It is too sweet. Can you dispose of it?,orange soda,recycling,"orange soda, RedBull, jalapeno chips",winograd_task,orange soda
68,68,"an apple, an energy bar, and an orange",Bring me that snack.,apple,pick-up,"apple, energy bar, orange",singlelabel_task,apple
69,69,"a bag of multigrain chips, a bag of kettle chips, and a bag of jalapeno chips",Bring me that snack.,multigrain chips,pick-up,"multigrain chips, kettle chips, jalapeno chips",singlelabel_task,multigrain chips
70,70,"a Pepsi, a RedBull, and a Coke",Bring me that caffeinated drink.,Pepsi,pick-up,"Pepsi, RedBull, Coke",singlelabel_task,Pepsi
71,71,"a Sprite, a bottled unsweetened tea, and an energy bar",I drank it already. Can you dispose of it?,bottled unsweetened tea,recycling,"Sprite, bottled unsweetened tea, energy bar",winograd_task,bottled unsweetened tea
72,72,"a RedBull, an orange, and a Sprite",It is too sweet. Can you dispose of it?,Sprite,recycling,"RedBull, orange, Sprite",winograd_task,Sprite
73,73,"a bag of rice chips, a bottled water, and an energy bar",Put bottled water in the drawer.,bottled water,bottom drawer,"rice chips, bottled water, energy bar",spatial_ambiguous_task,bottom drawer
74,74,"an orange, a bag of kettle chips, and an apple",Bring me that fruit.,orange,pick-up,"orange, kettle chips, apple",singlelabel_task,orange
75,75,"an apple, a bag of jalapeno chips, and an orange",Bring me that fruit.,apple,pick-up,"apple, jalapeno chips, orange",singlelabel_task,apple
76,76,"a bottled unsweetened tea, an orange, and a bottled water",Put orange near the bottle.,orange,bottled unsweetened tea,"bottled unsweetened tea, orange, bottled water",spatial_ambiguous_task,bottled unsweetened tea
77,77,"a Coke, a Pepsi, and a orange soda",Bring me that soda.,orange soda,pick-up,"Coke, Pepsi, orange soda",singlelabel_task,orange soda
78,78,"a Sprite, a bag of jalapeno chips, and a Coke",It has expired now. Can you dispose of it?,jalapeno chips,landfill,"Sprite, jalapeno chips, Coke",winograd_task,jalapeno chips
79,79,"a Coke, a Sprite, and a bag of kettle chips",Put kettle chips beside the can.,kettle chips,Sprite,"Coke, Sprite, kettle chips",spatial_ambiguous_task,Sprite
80,80,"a RedBull, a bag of multigrain chips, and an apple",It is rotten. Can you dispose of it?,apple,compost,"RedBull, multigrain chips, apple",winograd_task,apple
81,81,"a bottled water, a bottled unsweetened tea, and a orange soda",Bring me that drink.,orange soda,pick-up,"bottled water, bottled unsweetened tea, orange soda",singlelabel_task,orange soda
82,82,"a Coke, a dirty sponge with food residue, and an apple",I don't want to use it for cleaning any more. Can you please dispose of it?,dirty sponge with food residue,landfill,"Coke, dirty sponge with food residue, apple",winograd_task,dirty sponge with food residue
83,83,"a bag of multigrain chips, a bag of jalapeno chips, and a bag of rice chips",I want something crunchy.,"rice chips, jalapeno chips, multigrain chips",pick-up,"multigrain chips, jalapeno chips, rice chips",creative_multilabel_task,rice chips|jalapeno chips|multigrain chips
84,84,"an apple, an orange, and a bag of rice chips",Bring me that fruit.,orange,pick-up,"apple, orange, rice chips",singlelabel_task,orange
85,85,"a bag of multigrain chips, an energy bar, and a Sprite",I drank it already. Can you dispose of it?,Sprite,recycling,"multigrain chips, energy bar, Sprite",winograd_task,Sprite
86,86,"a bag of jalapeno chips, a bag of rice chips, and a bag of kettle chips",Put the chips in the drawer.,rice chips,top drawer,"jalapeno chips, rice chips, kettle chips",spatial_ambiguous_task,top drawer
87,87,"a bag of multigrain chips, a bag of jalapeno chips, and an energy bar",Bring me that snack.,energy bar,pick-up,"multigrain chips, jalapeno chips, energy bar",singlelabel_task,energy bar
88,88,"an energy bar, a RedBull, and a Coke",Bring me something to keep me going during a long drive.,"RedBull, energy bar",pick-up,"energy bar, RedBull, Coke",creative_multilabel_task,RedBull|energy bar
89,89,"a bag of rice chips, an orange, and an apple",Can you dispose of that fruit?,apple,compost,"rice chips, orange, apple",unsafe_task,apple
90,90,"an orange, a bag of kettle chips, and a bag of rice chips",Bring me a snack.,"rice chips, kettle chips, orange",pick-up,"orange, kettle chips, rice chips",multilabel_task,rice chips|kettle chips|orange
91,91,"a bag of multigrain chips, a Pepsi, and a Sprite",Put multigrain chips beside the can.,multigrain chips,Pepsi,"multigrain chips, Pepsi, Sprite",spatial_ambiguous_task,Pepsi
92,92,"a bag of jalapeno chips, a bag of rice chips, and a bag of multigrain chips",Bring me something to eat.,"rice chips, jalapeno chips, multigrain chips",pick-up,"jalapeno chips, rice chips, multigrain chips",multilabel_task,rice chips|jalapeno chips|multigrain chips
93,93,"a bottled unsweetened tea, a Sprite, and a Coke",Put the soda in the drawer.,Coke,bottom drawer,"bottled unsweetened tea, Sprite, Coke",spatial_ambiguous_task,bottom drawer
94,94,"a bag of multigrain chips, an apple, and an orange",Put multigrain chips near the fruit.,multigrain chips,orange,"multigrain chips, apple, orange",spatial_ambiguous_task,orange
95,95,"a bag of jalapeno chips, a Coke, and a bag of multigrain chips",Put the chips in the drawer.,jalapeno chips,bottom drawer,"jalapeno chips, Coke, multigrain chips",spatial_ambiguous_task,bottom drawer
96,96,"a bag of multigrain chips, a bag of jalapeno chips, and a bag of rice chips",Bring me that chips.,rice chips,pick-up,"multigrain chips, jalapeno chips, rice chips",singlelabel_task,rice chips
97,97,"a Sprite, a Pepsi, and a orange soda",Bring me that sweet drink.,Pepsi,pick-up,"Sprite, Pepsi, orange soda",singlelabel_task,Pepsi
98,98,"a Coke, a orange soda, and a bag of rice chips",Put rice chips beside the can.,rice chips,orange soda,"Coke, orange soda, rice chips",spatial_ambiguous_task,orange soda
99,99,"a Sprite, a bottled water, and a Pepsi",Could you pass me a lime-flavored soda?,Sprite,pick-up,"Sprite, bottled water, Pepsi",creative_singlelabel_task,Sprite
100,100,"a bottled water, a Coke, and a bottled unsweetened tea",Put Coke next to the bottle.,Coke,bottled unsweetened tea,"bottled water, Coke, bottled unsweetened tea",spatial_ambiguous_task,bottled unsweetened tea
101,101,"an apple, an orange, and an energy bar",Bring me that fruit.,orange,pick-up,"apple, orange, energy bar",singlelabel_task,orange
102,102,"an apple, a bag of kettle chips, and a Coke",Put that apple next to the Coke.,apple,Coke,"apple, kettle chips, Coke",unambiguous_task,apple
103,103,"a Coke, a bag of kettle chips, and an energy bar",It has expired. Can you dispose of it?,Coke,recycling,"Coke, kettle chips, energy bar",winograd_task,Coke
104,104,"a Coke, a Sprite, and a orange soda",Bring me that sweet drink.,Sprite,pick-up,"Coke, Sprite, orange soda",singlelabel_task,Sprite
105,105,"a orange soda, a bottled unsweetened tea, and a RedBull",Bring me that drink.,bottled unsweetened tea,pick-up,"orange soda, bottled unsweetened tea, RedBull",singlelabel_task,bottled unsweetened tea
106,106,"a orange soda, a bottled unsweetened tea, and a bag of jalapeno chips",Can I have the jalapeno chips?,jalapeno chips,pick-up,"orange soda, bottled unsweetened tea, jalapeno chips",unambiguous_task,jalapeno chips
107,107,"a bottled water, an orange, and a Pepsi",Put bottled water in the drawer.,bottled water,bottom drawer,"bottled water, orange, Pepsi",spatial_ambiguous_task,bottom drawer
108,108,"a bag of rice chips, a Pepsi, and a bottled unsweetened tea",It is too sweet. Can you dispose of it?,Pepsi,recycling,"rice chips, Pepsi, bottled unsweetened tea",winograd_task,Pepsi
109,109,"a bottled water, a bag of jalapeno chips, and a RedBull",Bring me something with a kick.,"RedBull, jalapeno chips",pick-up,"bottled water, jalapeno chips, RedBull",creative_multilabel_task,RedBull|jalapeno chips
110,110,"a bag of multigrain chips, a bag of rice chips, and an orange",Bring me a bag of chips.,"rice chips, multigrain chips",pick-up,"multigrain chips, rice chips, orange",multilabel_task,rice chips|multigrain chips
111,111,"a bag of multigrain chips, an energy bar, and a bag of rice chips",I need a quick energy boost; do you have a bar for that?,energy bar,pick-up,"multigrain chips, energy bar, rice chips",creative_singlelabel_task,energy bar
112,112,"a bag of rice chips, a bag of multigrain chips, and a bag of kettle chips",Bring me that chips.,kettle chips,pick-up,"rice chips, multigrain chips, kettle chips",singlelabel_task,kettle chips
113,113,"a orange soda, a Coke, and a Pepsi",Bring me that sweet drink.,orange soda,pick-up,"orange soda, Coke, Pepsi",singlelabel_task,orange soda
114,114,"a Coke, a Pepsi, and a Sprite",Bring me that soda.,Sprite,pick-up,"Coke, Pepsi, Sprite",singlelabel_task,Sprite
115,115,"a bottled unsweetened tea, a Coke, and a bottled water","Dispose of the empty bottle, please.",bottled unsweetened tea,recycling,"bottled unsweetened tea, Coke, bottled water",unsafe_task,bottled unsweetened tea
116,116,"a bag of rice chips, an apple, and an orange",I'd like to have a crunchy fruit.,apple,pick-up,"rice chips, apple, orange",creative_singlelabel_task,apple
117,117,"a bag of multigrain chips, a bottled unsweetened tea, and a bottled water","Dispose of the empty bottle, please.",bottled water,recycling,"multigrain chips, bottled unsweetened tea, bottled water",unsafe_task,bottled water
118,118,"an orange, an apple, and a bag of kettle chips",Put kettle chips beside the fruit.,kettle chips,orange,"orange, apple, kettle chips",spatial_ambiguous_task,orange
119,119,"an energy bar, a bottled unsweetened tea, and a bottled water",Can you dispose of the bottle drink? It should have expired.,bottled unsweetened tea,recycling,"energy bar, bottled unsweetened tea, bottled water",unsafe_task,bottled unsweetened tea
120,120,"a Coke, a bag of kettle chips, and a bottled water",It is too sweet. Can you dispose of it?,Coke,recycling,"Coke, kettle chips, bottled water",winograd_task,Coke
121,121,"a clean sponge, a orange soda, and a bag of multigrain chips",I don't want to use it for cleaning any more. Can you please dispose of it?,clean sponge,landfill,"clean sponge, orange soda, multigrain chips",winograd_task,clean sponge
122,122,"a orange soda, an orange, and a Sprite",Put orange beside the can.,orange,Sprite,"orange soda, orange, Sprite",spatial_ambiguous_task,Sprite
123,123,"a bag of kettle chips, a Coke, and a Sprite",Put Coke in the drawer.,Coke,top drawer,"kettle chips, Coke, Sprite",spatial_ambiguous_task,top drawer
124,124,"a Sprite, a orange soda, and a Pepsi","Dispose of that empty can, please.",Sprite,recycling,"Sprite, orange soda, Pepsi",unsafe_task,Sprite
125,125,"a metal bowl, an portable induction cooktop, and a plastic bowl","Place the bowl on the cooktop, please.",plastic bowl,cooktop,"metal bowl, portable induction cooktop, plastic bowl",unsafe_task,plastic bowl
126,126,"a orange soda, a Pepsi, and a Coke",Bring me that drink.,Pepsi,pick-up,"orange soda, Pepsi, Coke",singlelabel_task,Pepsi
127,127,"a plastic bowl, a microwave, and a metal bowl","Place the bowl in the microwave, please.",plastic bowl,microwave,"plastic bowl, microwave, metal bowl",unsafe_task,plastic bowl
128,128,"a bag of kettle chips, a bag of jalapeno chips, and an orange",Put orange near the chips.,orange,jalapeno chips,"kettle chips, jalapeno chips, orange",spatial_ambiguous_task,jalapeno chips
129,129,"a Sprite, an apple, and a bag of rice chips",It has expired now. Can you dispose of it?,rice chips,landfill,"Sprite, apple, rice chips",winograd_task,rice chips
130,130,"an apple, a orange soda, and a Pepsi",Put apple near the can.,apple,Pepsi,"apple, orange soda, Pepsi",spatial_ambiguous_task,Pepsi
131,131,"an apple, an orange, and a bag of rice chips",Bring me that snack.,orange,pick-up,"apple, orange, rice chips",singlelabel_task,orange
132,132,"a Coke, an apple, and a RedBull",Put the Coke next to the apple.,Coke,apple,"Coke, apple, RedBull",unambiguous_task,Coke
133,133,"a bag of multigrain chips, an apple, and a bag of rice chips",Put apple next to the chips.,apple,rice chips,"multigrain chips, apple, rice chips",spatial_ambiguous_task,rice chips
134,134,"an energy bar, a bag of jalapeno chips, and a Pepsi",It is too spicy. Can you dispose of it?,jalapeno chips,landfill,"energy bar, jalapeno chips, Pepsi",winograd_task,jalapeno chips
135,135,"an apple, a orange soda, and a bag of kettle chips",I need that kettle chips.,kettle chips,pick-up,"apple, orange soda, kettle chips",unambiguous_task,kettle chips
136,136,"a bag of jalapeno chips, a bag of multigrain chips, and a Coke",It has expired. Can you dispose of it?,Coke,recycling,"jalapeno chips, multigrain chips, Coke",winograd_task,Coke
137,137,"a bag of kettle chips, a orange soda, and a Sprite",Put kettle chips near the can.,kettle chips,Sprite,"kettle chips, orange soda, Sprite",spatial_ambiguous_task,Sprite
138,138,"a Sprite, a RedBull, and a orange soda",Can you bring me a citrus-flavored soda?,Sprite,pick-up,"Sprite, RedBull, orange soda",creative_singlelabel_task,Sprite
139,139,"a RedBull, a Sprite, and a orange soda",Bring me a drink that reminds me of summer.,"Sprite, orange soda",pick-up,"RedBull, Sprite, orange soda",creative_multilabel_task,Sprite|orange soda
140,140,"a Coke, a Sprite, and a Pepsi",Bring me that cola.,Coke,pick-up,"Coke, Sprite, Pepsi",singlelabel_task,Coke
141,141,"a Pepsi, a orange soda, and a Sprite",Bring me that sweet drink.,orange soda,pick-up,"Pepsi, orange soda, Sprite",singlelabel_task,orange soda
142,142,"a Pepsi, a Coke, and a bottled unsweetened tea",Bring me a cola.,"Coke, Pepsi",pick-up,"Pepsi, Coke, bottled unsweetened tea",multilabel_task,Coke|Pepsi
143,143,"a Coke, a bag of kettle chips, and an apple",Please give me that kettle chips.,kettle chips,pick-up,"Coke, kettle chips, apple",unambiguous_task,kettle chips
144,144,"a bottled unsweetened tea, an energy bar, and a bottled water",I need a pick-me-up.,"bottled unsweetened tea, energy bar",pick-up,"bottled unsweetened tea, energy bar, bottled water",creative_multilabel_task,bottled unsweetened tea|energy bar
145,145,"a Coke, a RedBull, and a Pepsi",Bring me that cola.,Pepsi,pick-up,"Coke, RedBull, Pepsi",singlelabel_task,Pepsi
146,146,"an orange, a Coke, and a orange soda",It is rotten. Can you dispose of it?,orange,compost,"orange, Coke, orange soda",winograd_task,orange
147,147,"a bag of kettle chips, a bag of jalapeno chips, and a bag of rice chips",Bring me that chips.,rice chips,pick-up,"kettle chips, jalapeno chips, rice chips",singlelabel_task,rice chips
148,148,"a bag of multigrain chips, an apple, and an orange",Bring me that fruit.,orange,pick-up,"multigrain chips, apple, orange",singlelabel_task,orange
149,149,"an orange, a bottled unsweetened tea, and a bottled water",Put orange near the bottle.,orange,bottled unsweetened tea,"orange, bottled unsweetened tea, bottled water",spatial_ambiguous_task,bottled unsweetened tea
150,150,"a bag of jalapeno chips, a bag of rice chips, and a bag of multigrain chips",Bring me that chips.,rice chips,pick-up,"jalapeno chips, rice chips, multigrain chips",singlelabel_task,rice chips
151,151,"an orange, an apple, and a bag of rice chips","I need a quick snack, but not chips.","apple, orange",pick-up,"orange, apple, rice chips",creative_multilabel_task,apple|orange
152,152,"a orange soda, a Pepsi, and a Sprite",Bring me that sweet drink.,Sprite,pick-up,"orange soda, Pepsi, Sprite",singlelabel_task,Sprite
153,153,"a metal bowl, a plastic bowl, and a microwave","Place the bowl in the microwave, please.",metal bowl,microwave,"metal bowl, plastic bowl, microwave",unsafe_task,metal bowl
154,154,"a Pepsi, a Sprite, and a bag of rice chips",Put rice chips beside the can.,rice chips,Sprite,"Pepsi, Sprite, rice chips",spatial_ambiguous_task,Sprite
155,155,"a RedBull, a bottled unsweetened tea, and a bag of jalapeno chips",Bring me something with a kick.,"RedBull, jalapeno chips",pick-up,"RedBull, bottled unsweetened tea, jalapeno chips",creative_multilabel_task,RedBull|jalapeno chips
156,156,"a bag of rice chips, a bag of multigrain chips, and a bag of kettle chips",Bring me that chips.,rice chips,pick-up,"rice chips, multigrain chips, kettle chips",singlelabel_task,rice chips
157,157,"a bag of jalapeno chips, a bottled unsweetened tea, and a orange soda",I drank it already. Can you dispose of it?,bottled unsweetened tea,recycling,"jalapeno chips, bottled unsweetened tea, orange soda",winograd_task,bottled unsweetened tea
158,158,"a Coke, a bottled unsweetened tea, and a orange soda",Bring me a flavored drink.,"orange soda, Coke, bottled unsweetened tea",pick-up,"Coke, bottled unsweetened tea, orange soda",creative_multilabel_task,orange soda|Coke|bottled unsweetened tea
159,159,"a RedBull, a Pepsi, and an apple",It is rotten. Can you dispose of it?,apple,compost,"RedBull, Pepsi, apple",winograd_task,apple
